ID_hecho,AAAA,MM
2021-0056,2021,7
2021-0057,2021,7
2021-0058,2021,7
2021-0059,2021,7
2021-0060,2021,7
2021-0061,2021,7
2021-0062,2021,7
2021-0063,2021,8
2021-0064,2021,8
2021-0065,2021,8
2021-0066,2021,8
2021-0067,2021,8
2021-0068,2021,8
2021-0069,2021,8
2021-0070,2021,8
2021-0071,2021,8
2021-0072,2021,9
2021-0073,2021,9
2021-0074,2021,9
2021-0075,2021,9
2021-0076,2021,10
2021-0077,2021,10
2021-0078,2021,10
2021-0079,2021,10
2021-0080,2021,10
2021-0081,2021,11
2021-0082,2021,11
2021-0083,2021,11
2021-0084,2021,11
2021-0085,2021,11
2021-0086,2021,11
2021-0087,2021,11
2021-0088,2021,12
2021-0089,2021,12
2021-0090,2021,12
2021-0091,2021,12
2021-0092,2021,12
2021-0093,2021,12
2021-0094,2021,12
2021-0095,2021,12
2021-0096,2021,12
2021-0097,2021,11
