ID_hecho,AAAA,EDAD
2021-0001,2021,36
2021-0002,2021,47
2021-0004,2021,61
2021-0005,2021,73
2021-0007,2021,84
2021-0009,2021,31
2021-0013,2021,41
2021-0016,2021,22
2021-0017,2021,33
2021-0018,2021,36
2021-0019,2021,30
2021-0021,2021,39
2021-0022,2021,68
2021-0024,2021,5
2021-0025,2021,37
2021-0026,2021,36
2021-0027,2021,19
2021-0030,2021,36
2021-0031,2021,68
2021-0032,2021,60
2021-0033,2021,33
2021-0036,2021,36
2021-0037,2021,58
2021-0038,2021,44
2021-0039,2021,86
2021-0041,2021,75
2021-0042,2021,39
2021-0043,2021,50
2021-0045,2021,22
2021-0046,2021,20
2021-0047,2021,59
2021-0048,2021,44
2021-0049,2021,74
2021-0050,2021,56
2021-0051,2021,73
2021-0052,2021,19
2021-0053,2021,58
2021-0054,2021,41
2021-0055,2021,47
2021-0056,2021,60
2021-0057,2021,46
2021-0059,2021,44
2021-0060,2021,80
2021-0061,2021,55
2021-0062,2021,73
2021-0063,2021,31
2021-0064,2021,37
2021-0065,2021,63
2021-0066,2021,59
2021-0068,2021,39
2021-0069,2021,17
2021-0070,2021,31
2021-0071,2021,88
2021-0072,2021,57
2021-0073,2021,76
2021-0074,2021,55
2021-0075,2021,65
2021-0076,2021,31
2021-0077,2021,31
2021-0078,2021,22
2021-0080,2021,32
2021-0082,2021,38
2021-0083,2021,30
2021-0084,2021,32
2021-0085,2021,49
2021-0086,2021,75
2021-0087,2021,73
2021-0088,2021,45
2021-0089,2021,41
2021-0090,2021,73
2021-0092,2021,50
2021-0093,2021,18
2021-0094,2021,43
2021-0096,2021,60
2021-0097,2021,53
